,Date,HIGH,CLOSE,OPEN,LOW,NUM_NEG,NUM_NEU,NUM_POS,TW,weekend,NUM_NEG1,NUM_NEG2,NUM_NEG3,NUM_NEU1,NUM_NEU2,NUM_NEU3,NUM_POS1,NUM_POS2,NUM_POS3,TW1,TW2,TW3,CLOSE1,CLOSE2,CLOSE3,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
0,6/4/13,77.24,76.02,76.5,75.96,2,12,6,20,0,0,1,0,10,5,5,1,0,0,11,6,5,76.48,75.75,75.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6/5/13,76.28,74.79,76.04,74.64,0,4,2,6,0,2,0,1,12,10,5,6,1,0,20,11,6,76.02,76.48,75.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6/6/13,76.25,76.24,74.75,74.64,1,9,0,10,0,0,2,0,4,12,10,2,6,1,6,20,11,74.79,76.02,76.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6/7/13,78.12,78.03,76.68,76.45,2,4,11,17,0,1,0,2,9,4,12,0,2,6,10,6,20,76.24,74.79,76.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6/8/13,78.12,78.03,76.68,76.45,0,3,3,6,1,2,1,0,4,9,4,11,0,2,17,10,6,78.03,76.24,74.79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6/9/13,78.12,78.03,76.68,76.45,0,1,2,3,1,0,2,1,3,4,9,3,11,0,6,17,10,78.03,78.03,76.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6/10/13,78.61,78.27,77.98,77.69,0,6,7,13,0,0,0,2,1,3,4,2,3,11,3,6,17,78.03,78.03,78.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6/11/13,77.85,76.52,77.61,76.5,2,9,8,19,0,0,0,0,6,1,3,7,2,3,13,3,6,78.27,78.03,78.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6/12/13,77,74.72,76.91,74.68,6,5,2,13,0,2,0,0,9,6,1,8,7,2,19,13,3,76.52,78.27,78.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6/13/13,75.26,75.21,74.46,73.79,2,21,2,25,0,6,2,0,5,9,6,2,8,7,13,19,13,74.72,76.52,78.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6/14/13,74.98,72.96,74.78,72.72,11,20,4,35,0,2,6,2,21,5,9,2,2,8,25,13,19,75.21,74.72,76.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6/15/13,74.98,72.96,74.78,72.72,0,2,0,2,1,11,2,6,20,21,5,4,2,2,35,25,13,72.96,75.21,74.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/16/13,74.98,72.96,74.78,72.72,1,1,3,5,1,0,11,2,2,20,21,0,4,2,2,35,25,72.96,72.96,75.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/17/13,74.21,73.86,73.69,73.39,2,14,0,16,0,1,0,11,1,2,20,3,0,4,5,2,35,72.96,72.96,72.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6/18/13,75.47,74.99,74.1,74.03,2,6,7,15,0,2,1,0,14,1,2,0,3,0,16,5,2,73.86,72.96,72.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6/19/13,75.1,74.24,74.87,74.19,1,7,2,10,0,2,2,1,6,14,1,7,0,3,15,16,5,74.99,73.86,72.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6/20/13,74,72.95,73.76,72.81,4,47,2,53,0,1,2,2,7,6,14,2,7,0,10,15,16,74.24,74.99,73.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6/21/13,73.79,73.33,73.38,72.37,1,27,0,28,0,4,1,2,47,7,6,2,2,7,53,10,15,72.95,74.24,74.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6/22/13,73.79,73.33,73.38,72.37,0,11,0,11,1,1,4,1,27,47,7,0,2,2,28,53,10,73.33,72.95,74.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/23/13,73.79,73.33,73.38,72.37,1,2,1,4,1,0,1,4,11,27,47,0,0,2,11,28,53,73.33,73.33,72.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6/24/13,72.84,72.03,72.57,71.68,6,11,5,22,0,1,0,1,2,11,27,1,0,0,4,11,28,73.33,73.33,73.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6/25/13,73.65,73.23,72.63,72.56,0,7,7,14,0,6,1,0,11,2,11,5,1,0,22,4,11,72.03,73.33,73.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/26/13,74.25,73.91,73.64,73.33,0,12,4,16,0,0,6,1,7,11,2,7,5,1,14,22,4,73.23,72.03,73.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6/27/13,75.43,75.14,74.46,74.38,0,13,2,15,0,0,0,6,12,7,11,4,7,5,16,14,22,73.91,73.23,72.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6/28/13,75.33,74.69,75,74.33,0,5,0,5,0,0,0,0,13,12,7,2,4,7,15,16,14,75.14,73.91,73.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6/29/13,75.33,74.69,75,74.33,1,2,1,4,1,0,0,0,5,13,12,0,2,4,5,15,16,74.69,75.14,73.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6/30/13,75.33,74.69,75,74.33,0,1,0,1,1,1,0,0,2,5,13,1,0,2,4,5,15,74.69,74.69,75.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7/1/13,76.46,75.64,75.53,75.43,2,9,3,14,0,0,1,0,1,2,5,0,1,0,1,4,5,74.69,74.69,74.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,7/2/13,76.29,74.62,75.43,74.3,0,2,1,3,0,2,0,1,9,1,2,3,0,1,14,1,4,75.64,74.69,74.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7/3/13,74.78,74.37,74.02,73.91,0,7,0,7,0,0,2,0,2,9,1,1,3,0,3,14,1,74.62,75.64,74.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7/4/13,74.78,74.37,74.02,73.91,2,7,1,10,1,0,0,2,7,2,9,0,1,3,7,3,14,74.37,74.62,75.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7/5/13,76.37,76.34,75.31,75.12,1,3,2,6,0,2,0,0,7,7,2,1,0,1,10,7,3,74.37,74.37,74.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,7/6/13,76.37,76.34,75.31,75.12,0,1,3,4,1,1,2,0,3,7,7,2,1,0,6,10,7,76.34,74.37,74.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7/7/13,76.37,76.34,75.31,75.12,0,5,6,11,1,0,1,2,1,3,7,3,2,1,4,6,10,76.34,76.34,74.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,7/8/13,77.81,77.05,76.83,76.83,0,12,9,21,0,0,0,1,5,1,3,6,3,2,11,4,6,76.34,76.34,76.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,7/9/13,77.95,77.62,77.85,77.08,1,4,5,10,0,0,0,0,12,5,1,9,6,3,21,11,4,77.05,76.34,76.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7/10/13,77.57,76.33,77.35,75.94,2,19,7,28,0,1,0,0,4,12,5,5,9,6,10,21,11,77.62,77.05,76.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7/11/13,77.62,77.01,77.54,76.56,0,10,4,14,0,2,1,0,19,4,12,7,5,9,28,10,21,76.33,77.62,77.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,7/12/13,78.45,78.32,77.33,77.29,0,13,9,22,0,0,2,1,10,19,4,4,7,5,14,28,10,77.01,76.33,77.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7/13/13,78.45,78.32,77.33,77.29,0,6,0,6,1,0,0,2,13,10,19,9,4,7,22,14,28,78.32,77.01,76.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7/14/13,78.45,78.32,77.33,77.29,0,8,1,9,1,0,0,0,6,13,10,0,9,4,6,22,14,78.32,78.32,77.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,7/15/13,78.63,77.86,78.61,77.5,1,13,12,26,0,0,0,0,8,6,13,1,0,9,9,6,22,78.32,78.32,78.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7/16/13,78.34,78.28,78.09,77.75,6,31,2,39,0,1,0,0,13,8,6,12,1,0,26,9,6,77.86,78.32,78.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7/17/13,77.45,76.76,75.35,74.62,27,146,44,217,0,6,1,0,31,13,8,2,12,1,39,26,9,78.28,77.86,78.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7/18/13,75.61,74.01,75.25,73.86,19,38,17,74,0,27,6,1,146,31,13,44,2,12,217,39,26,76.76,78.28,77.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7/19/13,74.74,74.09,73.68,73.48,8,14,3,25,0,19,27,6,38,146,31,17,44,2,74,217,39,74.01,76.76,78.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7/20/13,74.74,74.09,73.68,73.48,0,3,3,6,1,8,19,27,14,38,146,3,17,44,25,74,217,74.09,74.01,76.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7/21/13,74.74,74.09,73.68,73.48,0,1,5,6,1,0,8,19,3,14,38,3,3,17,6,25,74,74.09,74.09,74.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7/22/13,75.2,74.71,74.25,74.21,4,15,10,29,0,0,0,8,1,3,14,5,3,3,6,6,25,74.09,74.09,74.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7/23/13,75.18,74.43,75.05,74.36,2,4,4,10,0,4,0,0,15,1,3,10,5,3,29,6,6,74.71,74.09,74.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
